text,true_label,pred_label
nhà_hàng điều_khoản yêu bánh đc bao_gói bao_bì lạ túi nilong đc băng dập kín hút khí kfai túi giấy shop mạnh_mẽ,2,2
đồ uống chất_lượng soda and lemon tạm,1,1
phục_vụ tổng_quát ko baoh order ship thế_này làm_ăn cẩu_thả thua koi order koi cbh thế_này,0,0
nhà_hàng tổng_quát cơ_sở kichi kichi hạn_chế không_gian đông,2,0
không_gian tổng_quát cơ_sở kichi kichi hạn_chế không_gian đông,0,0
phục_vụ tổng_quát nhắc 2 3 đem,0,0
thức_ăn bánh to bánh cx mềm nhân lá dứa vs đường,2,2
thức_ăn chất_lượng bánh to bánh cx mềm nhân lá dứa vs đường,2,2
thức_ăn chất_lượng mứt dâu cam ngon mứt thơm k hợp,2,2
nhà_hàng điều_khoản vửi xe giá tiền mua xe mua đi,0,0
đồ uống gren tea ice blended giá tiền ly l to lắm nha uống no lắm,2,1
đồ uống giá tiền gren tea ice blended giá tiền ly l to lắm nha uống no lắm,1,1
phục_vụ tổng_quát phục_vụ nhân_viên nhanh_nhẹn thân_thiện,2,2
nhà_hàng tổng_quát fan hl,2,2
thức_ăn chất_lượng nguyên_liệu tươi ngon lắm món mực nướng thịt dai thơm ngon chấm kèm tương đỏ hợp_khẩu vị,2,2
thức_ăn nguyên_liệu tươi ngon lắm món mực nướng thịt dai thơm ngon chấm kèm tương đỏ hợp_khẩu vị,2,2
không_gian tổng_quát lầm đầu quán không_gian thoáng hiện_đại phục_vụ nhiệt_tình phục_vụ đứng hơi thoải_mái lắm,2,2
phục_vụ tổng_quát lầm đầu quán không_gian thoáng hiện_đại phục_vụ nhiệt_tình phục_vụ đứng hơi thoải_mái lắm,1,2
phục_vụ tổng_quát nhân_viên anh_chị nhân_viên dễ_thương nhiệt_tình thay vỉ thường_xuyên tư_vấn món bọn,2,2
thức_ăn sườn mềm tươi róc thịt phết phủ lớp phô_mai thơm thơm,2,2
thức_ăn chất_lượng sườn mềm tươi róc thịt phết phủ lớp phô_mai thơm thơm,2,2
thức_ăn gọi cơm_chiên cá mặn share cơm cơm đầu 1 muỗng ngon,0,1
thức_ăn chất_lượng gọi cơm_chiên cá mặn share cơm cơm đầu 1 muỗng ngon,2,2
thức_ăn chất_lượng gọi 2 mín bò bò bít tết sốt bq ngon lắm ưng thịt bò chín_tới mếm tươi,2,2
thức_ăn giá tiền bún_bò ngon ăn_giá tiền tô,1,1
thức_ăn chất_lượng bún_bò ngon ăn_giá tiền tô,2,2
thức_ăn chất_lượng thử sốt hai ngon cười nhẹ gọi 1 đĩa salad grek shrimp desert lava chôclate,2,2
thức_ăn thử sốt hai ngon cười nhẹ gọi 1 đĩa salad grek shrimp desert lava chôclate,1,1
nhà_hàng tổng_quát đậm_đà lắm vừa_miệng,1,2
phục_vụ tổng_quát đồ ship ship hộp giấy đựng gà hấp_hơi cảm_giác,2,2
nhà_hàng điều_khoản đồ ship ship hộp giấy đựng gà hấp_hơi cảm_giác,0,2
đồ uống trà sữa mặc_dù uống 10 đường 30 đá,1,1
đồ uống chất_lượng trà sữa mặc_dù uống 10 đường 30 đá,1,1
nhà_hàng điều_khoản nhà_hàng busines card quản_lý tiện liên_lạc chu_đáo,2,2
đồ uống chất_lượng ko béo ngậy chua_chua mặn mặn lắm trân_châu tím nhai sực sực lắm hihi,2,2
thức_ăn thưởng_thức món ăn_ý cơ_bản vị thử spagheti bolognese mỳ bò băm risoto pana cota,1,1
thức_ăn chất_lượng thưởng_thức món ăn_ý cơ_bản vị thử spagheti bolognese mỳ bò băm risoto pana cota,2,1
nhà_hàng tổng_quát thưởng_thức món ăn_ý cơ_bản vị thử spagheti bolognese mỳ bò băm risoto pana cota,2,1
thức_ăn chất_lượng hơi nhạt 1 chút cảm_nhận dẻo hạt cơm rau sốt,2,0
thức_ăn hơi nhạt 1 chút cảm_nhận dẻo hạt cơm rau sốt,1,1
thức_ăn 1 món món trứng benedict nấu khéo nhấn chảy sốt lòng_đỏ kèm bacon rán,2,2
thức_ăn chất_lượng 1 món món trứng benedict nấu khéo nhấn chảy sốt lòng_đỏ kèm bacon rán,2,2
không_gian tổng_quát không_gian k gian qán nhỏ_nhắn đc trang_trí nhìu màu_sắc vs tone xi_măng vs gạch đỏ xây í,1,1
thức_ăn loter nấu_ăn lắm đồ_ăn phong_phú,2,2
nhà_hàng tổng_quát loter nấu_ăn lắm đồ_ăn phong_phú,2,2
thức_ăn chất_lượng hôm_kia 1 cơm_chiên mã cơm_chiên m quán m cơm ngán vô_cùng hăng mùi xả m dc 1 tiếc tiền vô_cùng,0,0
thức_ăn chất_lượng kem đặc vị mặn mặn béo lắm í,2,1
nhà_hàng tổng_quát đông,2,2
thức_ăn giá tiền món bò giá mềm,2,2
đồ uống gọi 1 matcha ice blended 1 trà sữa wocha vị thảo_mộc trân_châu trắng,1,1
đồ uống chất_lượng milkfoam gongcha nổi_tiếng khen chê milkfosm béo béo vời,2,2
thức_ăn chất_lượng nem nướng chấm sốt vị bình_thường lắm,1,1
thức_ăn nem nướng chấm sốt vị bình_thường lắm,1,1
đồ uống chất_lượng trân_châu hơi cứng,0,0
không_gian tổng_quát không_gian vỉa_hè toàn la_liệt 1 gian bao,1,0
thức_ăn gọi món lưỡi bò chấm mắm gừng mùi_vị đặc_trưng ngon hơi mềm món lẫu đuôi bò lẫu vị lẫu vừa_phải đậm_đà,2,1
thức_ăn chất_lượng gọi món lưỡi bò chấm mắm gừng mùi_vị đặc_trưng ngon hơi mềm món lẫu đuôi bò lẫu vị lẫu vừa_phải đậm_đà,2,2
thức_ăn chất_lượng bánh nóng_hổi lớp chese phủ dày ko hồi hạnh_nhân lát,2,2
thức_ăn bánh nóng_hổi lớp chese phủ dày ko hồi hạnh_nhân lát,2,2
phục_vụ tổng_quát nhân_viên thân_thiện nhiệt_tình vui_vẻ tip nhân_viên nữ giá tiền nhiệm_vụ,2,2
nhà_hàng điều_khoản menu nguyễn_chí,1,2
thức_ăn salad trộn vừa_vặn tôm to ngon 3,2,2
thức_ăn chất_lượng salad trộn vừa_vặn tôm to ngon 3,2,2
không_gian tổng_quát không_gian quán hơi order xong đợi xíu chỗ,0,0
thức_ăn chất_lượng kem dừa ngon thơm bùi_và,2,2
không_gian tổng_quát quán thiết_kế hài_hoà,2,2
