text,true_label,pred_label
"nhà_hàng điều_khoản khác ❤ Bánh đc bao_gói bao_bì khá lạ , là túi nilong đc băng dập kín để hút khí , chứ kfai túi giấy như các shop khác 💪🏻 .",2,2
đồ uống chất_lượng * soda and lemon thì cũng tạm được .,1,1
"phục_vụ tổng_quát Mình sẽ ko baoh order ship thế_này nữa , làm_ăn cẩu_thả , thua xa koi , mình cũng order koi nhiều nhưng cbh thấy tình_trạng thế_này .",0,0
nhà_hàng tổng_quát Cơ_sở Kichi_Kichi này đã hạn_chế về không_gian thì chớ lại còn rất đông khách .,2,2
không_gian tổng_quát Cơ_sở Kichi_Kichi này đã hạn_chế về không_gian thì chớ lại còn rất đông khách .,0,0
phục_vụ tổng_quát Nhắc 2 3 lần mới thấy đem tới .,0,0
thức_ăn loại Mình ăn cả bánh ngọt to bánh cx mềm và phía trên là nhân lá dứa vs đường !,2,2
thức_ăn chất_lượng Mình ăn cả bánh ngọt to bánh cx mềm và phía trên là nhân lá dứa vs đường !,2,2
"thức_ăn chất_lượng Mứt dâu , cam ngon còn mứt thơm k hợp với mình .",2,1
"nhà_hàng điều_khoản khác Vửi xe 10k gần đó , nếu mua mang về thì có_thể để xe ngay ngoài , mua nhanh rồi đi .",0,1
"đồ uống loại - Green tea ice , blended ( 55 k ) : mình chọn ly L nên to lắm nha , uống no lắm .",2,2
"đồ uống giá tiền - Green tea ice , blended ( 55 k ) : mình chọn ly L nên to lắm nha , uống no lắm .",1,1
"phục_vụ tổng_quát 🧀 Phục_vụ : chị nhân_viên nhanh_nhẹn , thân_thiện .",2,2
nhà_hàng tổng_quát Sẽ còn quay lại vì mình là fan của HL .,2,2
"thức_ăn chất_lượng Nguyên_liệu tươi ngon lắm , như món mực nướng lên còn rất ngọt thịt và dai , thơm ngon chấm kèm tương đỏ rất hợp_khẩu vị .",2,2
"thức_ăn loại Nguyên_liệu tươi ngon lắm , như món mực nướng lên còn rất ngọt thịt và dai , thơm ngon chấm kèm tương đỏ rất hợp_khẩu vị .",2,1
"không_gian tổng_quát Lầm đầu tới quán thấy không_gian thoáng , hiện_đại , phục_vụ nhiệt_tình có_điều mình không thích phục_vụ đứng gần như_vậy , hơi không thoải_mái lắm .",2,2
"phục_vụ tổng_quát Lầm đầu tới quán thấy không_gian thoáng , hiện_đại , phục_vụ nhiệt_tình có_điều mình không thích phục_vụ đứng gần như_vậy , hơi không thoải_mái lắm .",1,1
"phục_vụ tổng_quát - Về nhân_viên : Các anh_chị nhân_viên ở đây dễ_thương và nhiệt_tình , thay vỉ thường_xuyên , tư_vấn và lên món cho bọn mình khá nhanh .",2,2
"thức_ăn loại Sườn mềm tươi , róc thịt phết , phủ thêm lớp phô_mai nữa thơm thơm .",2,2
"thức_ăn chất_lượng Sườn mềm tươi , róc thịt phết , phủ thêm lớp phô_mai nữa thơm thơm .",2,2
"thức_ăn loại Bạn mình gọi cơm_chiên cá mặn , nhìn thấy phần mình ít quá nên share thêm cơm , cơm ăn lúc đầu thứ 1 muỗng thì ngon .",0,0
"thức_ăn chất_lượng Bạn mình gọi cơm_chiên cá mặn , nhìn thấy phần mình ít quá nên share thêm cơm , cơm ăn lúc đầu thứ 1 muỗng thì ngon .",2,2
"thức_ăn chất_lượng Mình gọi 2 mín bò khác nhau , bò bít tết của mình có sốt BBQ ăn ngon lắm , mình rất ưng , thịt bò vừa chín_tới , mếm và tươi .",2,2
"thức_ăn giá tiền Bún_bò ngon , vừa ăn 39k tô thường .",1,1
"thức_ăn chất_lượng Bún_bò ngon , vừa ăn 39k tô thường .",2,2
thức_ăn chất_lượng Ăn thử các loại sốt thấy hai loại này là ngon nhất : ) Gọi thêm 1 đĩa Salad_Greek_Shrimp và desert Lava chôclate .,2,2
thức_ăn loại Ăn thử các loại sốt thấy hai loại này là ngon nhất : ) Gọi thêm 1 đĩa Salad_Greek_Shrimp và desert Lava chôclate .,1,1
"nhà_hàng tổng_quát Ở đây làm không đậm_đà lắm , nhưng vừa_miệng , không quá ngọt .",1,2
"phục_vụ tổng_quát - Đồ ship khá đúng giờ nhưng ship đến hộp giấy đựng gà hấp_hơi , cảm_giác không chắc_chắn .",2,1
"nhà_hàng điều_khoản khác - Đồ ship khá đúng giờ nhưng ship đến hộp giấy đựng gà hấp_hơi , cảm_giác không chắc_chắn .",0,0
"đồ uống loại Trà sữa nói_chung cũng được , có_điều chưa đủ ngọt mặc_dù mình uống là 100 % đường , 30 % đá rồi .",1,1
"đồ uống chất_lượng Trà sữa nói_chung cũng được , có_điều chưa đủ ngọt mặc_dù mình uống là 100 % đường , 30 % đá rồi .",1,1
"nhà_hàng điều_khoản khác Nhà_hàng cũng để business card của quản_lý để khách tiện liên_lạc , khá là chu_đáo .",2,2
"đồ uống chất_lượng Ăn ko béo ngậy đâu , chua_chua mặn mặn đã lắm + trân_châu tím nữa nhai sực sực đã lắm hihi .",2,2
"thức_ăn loại Nếu bạn muốn thưởng_thức các món ăn Ý cơ_bản và đúng vị thì có_thể tới đây và thử spaghetti bolognese ( mỳ ý bò băm ) , risotto và panna cotta .",1,1
"thức_ăn chất_lượng Nếu bạn muốn thưởng_thức các món ăn Ý cơ_bản và đúng vị thì có_thể tới đây và thử spaghetti bolognese ( mỳ ý bò băm ) , risotto và panna cotta .",2,2
"nhà_hàng tổng_quát Nếu bạn muốn thưởng_thức các món ăn Ý cơ_bản và đúng vị thì có_thể tới đây và thử spaghetti bolognese ( mỳ ý bò băm ) , risotto và panna cotta .",2,2
"thức_ăn chất_lượng Nó hơi nhạt 1 chút nhưng nhờ như_vậy mà có_thể cảm_nhận được sự dẻo của hạt cơm , rau , sốt .",2,2
"thức_ăn loại Nó hơi nhạt 1 chút nhưng nhờ như_vậy mà có_thể cảm_nhận được sự dẻo của hạt cơm , rau , sốt .",1,1
"thức_ăn loại Thêm 1 món nữa là món trứng Benedict , được nấu rất khéo nên khi nhấn vào sẽ chảy sốt lòng_đỏ ra , ăn kèm với bacon rán , nói_chung ăn thích .",2,1
"thức_ăn chất_lượng Thêm 1 món nữa là món trứng Benedict , được nấu rất khéo nên khi nhấn vào sẽ chảy sốt lòng_đỏ ra , ăn kèm với bacon rán , nói_chung ăn thích .",2,2
không_gian tổng_quát Không_gian : k gian qán nhỏ_nhắn đc trang_trí nhìu màu_sắc vs tone là xi_măng vs gạch đỏ xây nhà í .,1,2
thức_ăn loại Mình rất thích Lotter ở đây vì mình không thích nấu_ăn lắm mà đồ_ăn ở đây khá là phong_phú và nhiều loại .,2,2
nhà_hàng tổng_quát Mình rất thích Lotter ở đây vì mình không thích nấu_ăn lắm mà đồ_ăn ở đây khá là phong_phú và nhiều loại .,2,2
"thức_ăn chất_lượng Mới hôm_kia mình đặt 1 cơm_chiên mã lại , vì là cơm_chiên nên m thường sẽ dễ ăn nhưng quán lại làm m cảm_thấy cơm ăn ngán vô_cùng , lại còn hăng mùi xả vì bỏ_quá nhiều , m ăn dc 1 nữa thì bỏ , cảm_thấy tiếc tiền vô_cùng .",0,0
"thức_ăn chất_lượng Kem đặc , có vị mặn mặn , béo lắm í .",2,2
nhà_hàng tổng_quát Nhưng luôn rất là đông .,2,2
thức_ăn giá tiền Các món ăn ngoài bò thì giá khá mềm .,2,2
đồ uống loại Mình gọi 1 Matcha ice blended và 1 trà sữa woocha vị thảo_mộc thêm trân_châu trắng .,1,1
"đồ uống chất_lượng Milkfoam ở gongcha là nổi_tiếng đó giờ , có người khen người chê mà cá_nhân mình rất thích milkfosm ở đây béo béo ngọt ngọt nhưng vừa nói_chung là toẹt vời .",2,2
"thức_ăn chất_lượng Nem nướng chấm chung với sốt , ăn vị bình_thường lắm .",1,1
"thức_ăn loại Nem nướng chấm chung với sốt , ăn vị bình_thường lắm .",1,1
đồ uống chất_lượng Trân_châu hơi cứng .,0,0
"không_gian tổng_quát - Về không_gian : nếu đến sớm thì ngoài vỉa_hè chắc_chắn toàn người là người ngồi la_liệt , có 1 gian trong nhà nhưng cũng không chưa được là bao .",1,1
"thức_ăn loại Mình gọi món lưỡi bò chấm mắm gừng có mùi_vị đặc_trưng ăn khá ngon nhưng hơi mềm và món lẫu đuôi bò , lẫu nhiều , vị lẫu vừa_phải đậm_đà .",2,0
"thức_ăn chất_lượng Mình gọi món lưỡi bò chấm mắm gừng có mùi_vị đặc_trưng ăn khá ngon nhưng hơi mềm và món lẫu đuôi bò , lẫu nhiều , vị lẫu vừa_phải đậm_đà .",2,2
"thức_ăn chất_lượng Bánh nóng_hổi , bên trên là lớp cheese phủ dày ( mà ko bằng hồi đó ) và hạnh_nhân lát .",2,2
"thức_ăn loại Bánh nóng_hổi , bên trên là lớp cheese phủ dày ( mà ko bằng hồi đó ) và hạnh_nhân lát .",2,2
"phục_vụ tổng_quát Nhân_viên thân_thiện , nhiệt_tình , vui_vẻ ; lúc về tip bạn nhân_viên nữ 50k do làm tốt nhiệm_vụ .",2,2
nhà_hàng điều_khoản khác Menu khác hoàn_toàn bên nguyễn_chí thanh .,1,2
"thức_ăn loại Salad ở đây trộn rất vừa_vặn , tôm to ngon luôn :",2,2
"thức_ăn chất_lượng Salad ở đây trộn rất vừa_vặn , tôm to ngon luôn :",2,2
"không_gian tổng_quát Không_gian quán hơi nhỏ , mình order xong phải đợi thêm xíu nữa mới có chỗ ngồi .",0,0
"thức_ăn chất_lượng Kem dừa thì khá ngon , thơm , bùi_và ngọt .",2,2
không_gian tổng_quát Quán thiết_kế khá hài_hoà .,2,2
nhà_hàng điều_khoản khác Quán có_điều hoà mát cũng là 1 điểm cộng .,2,2
thức_ăn giá tiền Bạn mình ăn phần số 3 cũng 38k thì double trứng ko có nem vs thịt xông khói nha .,1,1
thức_ăn loại Bạn mình ăn phần số 3 cũng 38k thì double trứng ko có nem vs thịt xông khói nha .,1,1
"đồ uống giá tiền Mình kiu trà sữa lài xanh uống ngon nhưng hơi ngọt quá , 31k giá này ỗn .",1,1
"đồ uống chất_lượng Mình kiu trà sữa lài xanh uống ngon nhưng hơi ngọt quá , 31k giá này ỗn .",2,2
nhà_hàng tổng_quát Giữ xe trước quán và order trên lầu chứ tầng trệt chỉ có chỗ ngồi thôi .,1,1
nhà_hàng điều_khoản khác Giữ xe trước quán và order trên lầu chứ tầng trệt chỉ có chỗ ngồi thôi .,1,1
thức_ăn loại Có_thể gọi thêm đồ uống và bánh_mì đi kèm .,2,1
nhà_hàng tổng_quát Thu lợi kiểu này rất mất khách và danh tiếng❌👎 .,0,0
nhà_hàng giá tiền Giá_cả ngang_ngửa quán Đo_Đo tuy_nhiên sạch_sẽ và ngon hơn .,1,1
nhà_hàng tổng_quát Giá_cả ngang_ngửa quán Đo_Đo tuy_nhiên sạch_sẽ và ngon hơn .,2,2
"thức_ăn loại Lâu không ăn pizza nên cũng thấy thèm , combo đầy_đặn , trông mỗi thứ 1 ít mà cũng no , 3 người gọi combo 345k là đủ no 😊 .",2,2
"thức_ăn giá tiền Lâu không ăn pizza nên cũng thấy thèm , combo đầy_đặn , trông mỗi thứ 1 ít mà cũng no , 3 người gọi combo 345k là đủ no 😊 .",1,1
phục_vụ tổng_quát Nhân_viên siêng_năng .,2,2
"phục_vụ tổng_quát Đặc_biệt của quán là có anh chủ rất nhiệt_tình , giải_thích món ăn cho khách , còn giới_thiệu nguyên_liệu cặn_kẽ .",2,2
nhà_hàng tổng_quát Dù quán thường_xuyên đông vào giờ cao_điểm và nếu không đặt bàn trước thì đành ngậm_ngùi đi nơi khác ăn nhưng vẫn được lòng mình .,2,2
"thức_ăn chất_lượng Thịt bò mềm , chấm với sốt cực ngon .",2,2
"thức_ăn loại Thịt bò mềm , chấm với sốt cực ngon .",2,1
