text,true_label,pred_label
"❤ Bánh đc bao_gói bao_bì khá lạ , là túi nilong đc băng dập kín để hút khí , chứ kfai túi giấy như các shop khác 💪🏻 . nhà_hàng điều_khoản khác",2,2
* soda and lemon thì cũng tạm được . đồ uống chất_lượng,1,1
"Mình sẽ ko baoh order ship thế_này nữa , làm_ăn cẩu_thả , thua xa koi , mình cũng order koi nhiều nhưng cbh thấy tình_trạng thế_này . phục_vụ tổng_quát",0,0
Cơ_sở Kichi_Kichi này đã hạn_chế về không_gian thì chớ lại còn rất đông khách . nhà_hàng tổng_quát,2,2
Cơ_sở Kichi_Kichi này đã hạn_chế về không_gian thì chớ lại còn rất đông khách . không_gian tổng_quát,0,0
Nhắc 2 3 lần mới thấy đem tới . phục_vụ tổng_quát,0,0
Mình ăn cả bánh ngọt to bánh cx mềm và phía trên là nhân lá dứa vs đường ! thức_ăn loại,2,2
Mình ăn cả bánh ngọt to bánh cx mềm và phía trên là nhân lá dứa vs đường ! thức_ăn chất_lượng,2,2
"Mứt dâu , cam ngon còn mứt thơm k hợp với mình . thức_ăn chất_lượng",2,2
"Vửi xe 10k gần đó , nếu mua mang về thì có_thể để xe ngay ngoài , mua nhanh rồi đi . nhà_hàng điều_khoản khác",0,1
"- Green tea ice , blended ( 55 k ) : mình chọn ly L nên to lắm nha , uống no lắm . đồ uống loại",2,2
"- Green tea ice , blended ( 55 k ) : mình chọn ly L nên to lắm nha , uống no lắm . đồ uống giá tiền",1,1
"🧀 Phục_vụ : chị nhân_viên nhanh_nhẹn , thân_thiện . phục_vụ tổng_quát",2,2
Sẽ còn quay lại vì mình là fan của HL . nhà_hàng tổng_quát,2,2
"Nguyên_liệu tươi ngon lắm , như món mực nướng lên còn rất ngọt thịt và dai , thơm ngon chấm kèm tương đỏ rất hợp_khẩu vị . thức_ăn chất_lượng",2,2
"Nguyên_liệu tươi ngon lắm , như món mực nướng lên còn rất ngọt thịt và dai , thơm ngon chấm kèm tương đỏ rất hợp_khẩu vị . thức_ăn loại",2,2
"Lầm đầu tới quán thấy không_gian thoáng , hiện_đại , phục_vụ nhiệt_tình có_điều mình không thích phục_vụ đứng gần như_vậy , hơi không thoải_mái lắm . không_gian tổng_quát",2,2
"Lầm đầu tới quán thấy không_gian thoáng , hiện_đại , phục_vụ nhiệt_tình có_điều mình không thích phục_vụ đứng gần như_vậy , hơi không thoải_mái lắm . phục_vụ tổng_quát",1,2
"- Về nhân_viên : Các anh_chị nhân_viên ở đây dễ_thương và nhiệt_tình , thay vỉ thường_xuyên , tư_vấn và lên món cho bọn mình khá nhanh . phục_vụ tổng_quát",2,2
"Sườn mềm tươi , róc thịt phết , phủ thêm lớp phô_mai nữa thơm thơm . thức_ăn loại",2,2
"Sườn mềm tươi , róc thịt phết , phủ thêm lớp phô_mai nữa thơm thơm . thức_ăn chất_lượng",2,2
"Bạn mình gọi cơm_chiên cá mặn , nhìn thấy phần mình ít quá nên share thêm cơm , cơm ăn lúc đầu thứ 1 muỗng thì ngon . thức_ăn loại",0,0
"Bạn mình gọi cơm_chiên cá mặn , nhìn thấy phần mình ít quá nên share thêm cơm , cơm ăn lúc đầu thứ 1 muỗng thì ngon . thức_ăn chất_lượng",2,2
