text,true_label,pred_label
yêu bánh đc bao_gói bao_bì lạ túi nilong đc băng dập kín hút khí kfai túi giấy shop mạnh_mẽ,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
soda and lemon tạm,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
ko baoh order ship thế_này làm_ăn cẩu_thả thua koi order koi cbh thế_này,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
cơ_sở kichi kichi hạn_chế không_gian đông,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
nhắc 2 3 đem,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
bánh to bánh cx mềm nhân lá dứa vs đường,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]
mứt dâu cam ngon mứt thơm k hợp,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
vửi xe giá tiền mua xe mua đi,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
gren tea ice blended giá tiền ly l to lắm nha uống no lắm,[0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
phục_vụ nhân_viên nhanh_nhẹn thân_thiện,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
fan hl,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
nguyên_liệu tươi ngon lắm món mực nướng thịt dai thơm ngon chấm kèm tương đỏ hợp_khẩu vị,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
lầm đầu quán không_gian thoáng hiện_đại phục_vụ nhiệt_tình phục_vụ đứng hơi thoải_mái lắm,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
nhân_viên anh_chị nhân_viên dễ_thương nhiệt_tình thay vỉ thường_xuyên tư_vấn món bọn,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
sườn mềm tươi róc thịt phết phủ lớp phô_mai thơm thơm,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]
gọi cơm_chiên cá mặn share cơm cơm đầu 1 muỗng ngon,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]
gọi 2 mín bò bò bít tết sốt bq ngon lắm ưng thịt bò chín_tới mếm tươi,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.]
