text,true_label,pred_label
yêu bánh đc bao_gói bao_bì lạ túi nilong đc băng dập kín hút khí kfai túi giấy shop mạnh_mẽ nhà_hàng điều_khoản,2,2
soda and lemon tạm đồ uống chất_lượng,1,1
ko baoh order ship thế_này làm_ăn cẩu_thả thua koi order koi cbh thế_này phục_vụ tổng_quát,0,0
cơ_sở kichi kichi hạn_chế không_gian đông nhà_hàng tổng_quát,2,1
cơ_sở kichi kichi hạn_chế không_gian đông không_gian tổng_quát,0,0
nhắc 2 3 đem phục_vụ tổng_quát,0,0
bánh to bánh cx mềm nhân lá dứa vs đường thức_ăn,2,2
bánh to bánh cx mềm nhân lá dứa vs đường thức_ăn chất_lượng,2,2
mứt dâu cam ngon mứt thơm k hợp thức_ăn chất_lượng,2,2
vửi xe giá tiền mua xe mua đi nhà_hàng điều_khoản,0,0
gren tea ice blended giá tiền ly l to lắm nha uống no lắm đồ uống,2,2
gren tea ice blended giá tiền ly l to lắm nha uống no lắm đồ uống giá tiền,1,1
phục_vụ nhân_viên nhanh_nhẹn thân_thiện phục_vụ tổng_quát,2,2
fan hl nhà_hàng tổng_quát,2,2
nguyên_liệu tươi ngon lắm món mực nướng thịt dai thơm ngon chấm kèm tương đỏ hợp_khẩu vị thức_ăn chất_lượng,2,2
nguyên_liệu tươi ngon lắm món mực nướng thịt dai thơm ngon chấm kèm tương đỏ hợp_khẩu vị thức_ăn,2,2
lầm đầu quán không_gian thoáng hiện_đại phục_vụ nhiệt_tình phục_vụ đứng hơi thoải_mái lắm không_gian tổng_quát,2,2
lầm đầu quán không_gian thoáng hiện_đại phục_vụ nhiệt_tình phục_vụ đứng hơi thoải_mái lắm phục_vụ tổng_quát,1,2
nhân_viên anh_chị nhân_viên dễ_thương nhiệt_tình thay vỉ thường_xuyên tư_vấn món bọn phục_vụ tổng_quát,2,2
sườn mềm tươi róc thịt phết phủ lớp phô_mai thơm thơm thức_ăn,2,2
sườn mềm tươi róc thịt phết phủ lớp phô_mai thơm thơm thức_ăn chất_lượng,2,2
gọi cơm_chiên cá mặn share cơm cơm đầu 1 muỗng ngon thức_ăn,0,1
gọi cơm_chiên cá mặn share cơm cơm đầu 1 muỗng ngon thức_ăn chất_lượng,2,2
gọi 2 mín bò bò bít tết sốt bq ngon lắm ưng thịt bò chín_tới mếm tươi thức_ăn chất_lượng,2,2
bún_bò ngon ăn_giá tiền tô thường_thức ăn_giá tiền,1,1
bún_bò ngon ăn_giá tiền tô thường_thức chất_lượng,2,2
thử sốt hai ngon cười nhẹ gọi 1 đĩa salad grek shrimp desert lava chôclate thức_ăn chất_lượng,2,2
thử sốt hai ngon cười nhẹ gọi 1 đĩa salad grek shrimp desert lava chôclate thức_ăn,1,1
đậm_đà lắm vừa_miệng nhà_hàng tổng_quát,1,2
đồ ship ship hộp giấy đựng gà hấp_hơi cảm_giác phục_vụ tổng_quát,2,0
đồ ship ship hộp giấy đựng gà hấp_hơi cảm_giác nhà_hàng điều_khoản,0,0
trà sữa mặc_dù uống 10 đường 30 đá đồ uống,1,1
trà sữa mặc_dù uống 10 đường 30 đá đồ uống chất_lượng,1,1
nhà_hàng busines card quản_lý tiện liên_lạc chu_đáo nhà_hàng điều_khoản,2,2
ko béo ngậy chua_chua mặn mặn lắm trân_châu tím nhai sực sực lắm hihi đồ uống chất_lượng,2,2
thưởng_thức món ăn_ý cơ_bản vị thử spagheti bolognese mỳ bò băm risoto pana cota thức_ăn,1,1
thưởng_thức món ăn_ý cơ_bản vị thử spagheti bolognese mỳ bò băm risoto pana cota thức_ăn chất_lượng,2,2
